method,recording,input_snr_db,output_snr_db,snr_improvement_db
Spectral subtraction,p257_011,5.000000000000001,12.004807380391163,7.004807380391163
Spectral subtraction,p257_012,4.999999999999999,12.064057075944753,7.064057075944754
Spectral subtraction,p257_013,5.000000000000001,11.48386604404659,6.4838660440465885
Spectral subtraction,p257_014,4.999999999999999,12.546722658498808,7.546722658498809
Spectral subtraction,p257_015,5.000000000000001,11.898542083702758,6.898542083702757
Spectral subtraction,p257_016,5.0,12.493390620501204,7.493390620501204
Spectral subtraction,p257_017,5.000000000000001,12.427257793202271,7.42725779320227
Spectral subtraction,p257_018,5.0,11.843052356277887,6.843052356277887
Spectral subtraction,p257_019,5.000000000000002,11.508602373222347,6.508602373222345
Spectral subtraction,p257_020,4.999999999999999,12.264732741433502,7.264732741433503
Hankel + SVD,p232_001,5.000000000000001,6.31667606960399,1.3166760696039894
Hankel + SVD,p232_002,5.000000000000002,6.259792225707184,1.2597922257071819
Hankel + SVD,p232_003,5.0,6.18314917920181,1.18314917920181
Hankel + SVD,p232_005,4.999999999999999,6.227461866667849,1.2274618666678503
Hankel + SVD,p232_006,4.999999999999998,6.269986435284095,1.269986435284097
Hankel + SVD,p232_007,4.999999999999999,6.33188857769362,1.3318885776936211
Hankel + SVD,p232_009,5.000000000000001,6.343950444236983,1.3439504442369818
Hankel + SVD,p232_010,5.0,6.378084282601904,1.378084282601904
Hankel + SVD,p232_011,5.000000000000001,6.274300167441062,1.2743001674410612
Hankel + SVD,p232_012,5.000000000000001,6.286226928736034,1.286226928736033
Hankel + SVD,p232_013,5.000000000000001,6.269868426260759,1.269868426260758
Hankel + SVD,p232_014,4.999999999999998,6.314901023848812,1.3149010238488135
Hankel + SVD,p232_015,4.999999999999999,6.292416513694597,1.2924165136945982
Hankel + SVD,p232_016,4.999999999999999,6.273126128964743,1.2731261289647442
Hankel + SVD,p232_017,4.999999999999999,6.31084080551842,1.3108408055184206
Hankel + SVD,p232_019,5.0,6.222120381762302,1.222120381762302
Hankel + SVD,p232_020,5.000000000000001,6.31820408931064,1.3182040893106395
Hankel + SVD,p257_001,4.999999999999999,6.352992904305434,1.3529929043054345
Hankel + SVD,p257_002,5.000000000000001,6.336312409691754,1.336312409691753
Hankel + SVD,p257_003,4.999999999999999,6.275151221018923,1.2751512210189242
Hankel + SVD,p257_004,5.0,6.338867448657432,1.3388674486574317
Hankel + SVD,p257_006,4.999999999999999,6.3486404141164465,1.3486404141164474
Hankel + SVD,p257_007,4.999999999999999,6.335063802647113,1.335063802647114
Hankel + SVD,p257_008,5.000000000000001,6.294251003567066,1.294251003567065
Hankel + SVD,p257_009,5.000000000000001,6.379206663193178,1.3792066631931768
Hankel + SVD,p257_010,4.999999999999999,6.399121415224931,1.3991214152249318
Hankel + SVD,p257_011,4.999999999999999,6.330895421077434,1.330895421077435
Hankel + SVD,p257_012,5.0,6.3298313563865864,1.3298313563865864
Hankel + SVD,p257_013,5.000000000000001,6.3258244609823056,1.3258244609823047
